project,ticker,current_rank,market_cap_usd,sector,fact_rank_space,fact_rank_improve_6m,fact_vs_btc,fact_vs_sector,fact_supply_health,fact_usage_evidence,fact_total,rule_sector_destiny,rule_supply_ceiling,rule_infra_template,rule_new_l1_match,rule_second_stage,rule_relay_failure,rule_narrative_timer,rule_pure_narrative_no_execution,rule_rwa_leader,rule_platform_coin_2nd_order,rule_total,capital_overlay,warning_top100_survival,warning_dumbbell,warning_continuous_accel,warning_cycle_pullback,warning_supply_red,hard_fail,final_total,final_rating,notes
Morpho,MORPHO,54,808247286.49,DeFi lending infrastructure,1,1,1,1,1,1,6,4,4,3,0,1,0,0,0,0,0,12,1,1,0,0,0,0,0,13,高优先级锚点,"沿用既有 Step 4 高优先级结论；当前本地 top1000 rank=54。"
Aerodrome Finance,AERO,92,317411662.64,DEX / Base liquidity infrastructure,1,1,1,1,0,1,5,4,1,3,0,3,0,0,0,0,0,11,1,1,0,0,0,0,0,12,高优先级锚点,"沿用既有 Step 4 高优先级结论；供给项保守只给 0/1。"
Jupiter,JUP,67,583703212.84,Solana exchange / aggregation infrastructure,1,0,0,1,0,1,3,4,1,3,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,9,高优先级,"按更严格近半年口径，JUP 在回落期不应再给 vs BTC 正分；二段加速项也收紧为 0。"
Jito,JTO,154,129798718.83,Solana MEV + liquid staking infrastructure,1,0,0,1,1,1,4,4,4,3,0,1,0,0,0,0,0,12,2,0,0,0,0,0,0,14,高优先级讨论/强观察级,"事实层 4/6；资本在加速已成立产品。"
Kamino,KMNO,236,82634923.93,Solana lending + liquidity infrastructure,1,0,0,1,0,1,3,4,-2,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,8,观察级（独立候选）,"资本主线外；产品数据强，但持续解锁压制供给分。"
Ethena,ENA,47,923973918.93,Synthetic dollar / yield-bearing stable infrastructure,1,0,0,1,0,1,3,4,-2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,3,观察级,"修正供给口径：既然触发 supply red，rule_supply_ceiling 不应为正分。"
GateToken,GT,52,818575387.23,Exchange token / platform coin,1,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,4,观察级,"沿用既有 Step 4 观察级结论；平台币只做二阶筛选。"
Centrifuge,CFG,269,71948231.46,RWA infrastructure,1,0,0,0,1,1,3,1,4,0,0,0,-2,0,0,1,0,4,0,0,0,0,0,0,0,4,观察级,"沿用既有 Step 4 观察级结论；有 RWA 基础设施价值，但当前仍非赛道龙头，且有中继失败痕迹。"
Babylon,BABY,389,41731328.61,BTC staking / BTCfi infrastructure,1,0,0,1,0,1,3,4,-4,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,3,观察级（供给红灯）,"赛道和身份都强，但 28% 流通 + 近端大解锁。"
Syrup,SYRUP,102,289648417.89,Institutional credit / onchain lending,1,0,0,1,0,1,3,1,0,1,0,1,0,0,0,1,0,4,0,0,0,0,0,0,pending,4,观察级（待 Hard fail 核实）,"沿用既有 Step 4 观察级结论；历史信任问题未最终核销。"
Vana,VANA,382,43115603.50,AI data infrastructure / DataDAO,1,0,0,1,0,0,2,1,-2,0,0,0,0,0,-2,0,0,-3,2,0,0,0,0,1,0,-1,暂不成立（保留预跟踪）,"事实层 2/6；资本交叉不能替代产品验证。"
Drift,DRIFT,355,47594379.64,Solana perp / trading infrastructure,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,暂不成立,"产品仍在，但排名和相对强度都不够，暂不成立。"
Symbiotic,SYMBIOTIC,N/A,N/A,Universal staking / restaking infrastructure,,,,,,,N/A,4,,3,0,,0,0,0,0,0,N/A,2,0,0,0,0,0,0,N/A,预跟踪中优先级最高,"未发币，不进入正式事实层；三家核心资本方交叉 + TVL>$1B。"
